id,text,category,satisfaction,environment,social
684557676991217666,2 days until I get my studio back!!! It's been so long #excited 😄😄😄,Autonomy,Satisfied,Not Clear,Leisure
681845581120180224,I hate everyone who doesn't have to work today #snowstorm #grumpy,Autonomy,Dissatisfied,Not Clear,Work
683974173325180929,"Hosting at one of the best venues in London, cant wait! #excited #unashamedlyshallow",Autonomy,Satisfied,Not Clear,Leisure
681917329177853952,Can't believe in 12 days I'll be laying on a beach 😆👙🌴🌞 #excited #vacation,Autonomy,Satisfied,Supportive,Leisure
683836324252676101,Looking forward to N awesome day tomorrow 😬 #excited #LOA,Autonomy,Satisfied,Not Clear,Other
683196161440677888,I'm going to read at work tomorrow. A real hardcover or paperback book instead of being online so much from now on. I miss reading #excited,Autonomy,Satisfied,Not Clear,Work
682423464532271104,I'm so ready for 2016!!! So many amazing things happened in 2015 and the results will be seen in #2016. #excited. #WorkingMom #actorslife,Autonomy,Satisfied,Not Clear,Other
678508752727842816,Three months today I fly off to New York City #excited ✈️🗽🇺🇸,Autonomy,Satisfied,Not Clear,Leisure
724518623109369857,"Make this day #happy #memorable #positive and a day you look back on and say- ""This is the day I decided to change my life for the better!""💫",Autonomy,Satisfied,Not Clear,life evaluation
650253213468360706,"Looking forward to this weekend!, can't let a little rain ruin it😌 #optimistic",Autonomy,Satisfied,Not Clear,Leisure
683867818052431872,Beyond keen for #golf today... and it will most probably be an adventure :D #excited,Autonomy,Satisfied,Not Clear,Leisure
679838488544555008,"On my way HOME! #Excited #GoodMorning #Kenot — traveling to Mexico, Pampanga",Autonomy,Satisfied,Not Clear,Leisure
679792525100580865,When you're sitting in your office after 530 because your boss took a 3 hour lunch #annoyed 😣,Autonomy,Dissatisfied,Non-Supportive,Work
682809971965296641,My friend and I just came up with an awesome game mechanic I've never seen used before #excited,Autonomy,Satisfied,Not Clear,Leisure
683753740231380992,Can't believe Xmas hols over already-where does the time go? Looking forward to introducing some new topics this term though #excited,Autonomy,Satisfied,Not Clear,Work
679563907707592704,"Last shift today and 10 wonderful days off to be spent with my loved ones, food and drink 💕😂👍🏻 #happydays #christmas #excited",Autonomy,Satisfied,Not Clear,Leisure
682688476576260097,Watching Harry Potter marathon and reliving our visit to the Warner Bros. set in England in 2013. #nostalgic,Autonomy,Satisfied,Supportive,Leisure
681826129569779716,Need my beauty rest! I have a great vacation coming up.... Beginning 2mrw 😊😊😊 #Excited,Autonomy,Satisfied,Not Clear,Leisure
684384927090130944,Booked me and Chris' 3 day break to Lincoln #excited,Autonomy,Satisfied,Not Clear,Leisure
679219591583834112,Travelling to Hereford this morning ready for Christmas #Christmas #excited,Autonomy,Satisfied,Supportive,Family
684391300662087680,"Not gone waist this beautiful day with what if's😒 Not today, living in the moments enjoying what's right in front of me😀 #Hopeful",Autonomy,Satisfied,Not Clear,Other
678993884026826752,#HAIKU GIVES MY BRAIN SOMETHING MORE #FUN TO DO THAN #WORRY.,Autonomy,Satisfied,Supportive,Leisure
680013608080818176,So I go to get my eyebrows threaded and she's just done half of my face!! 😩🙈 #pain,Autonomy,Dissatisfied,Not Clear,Health
684277068834693120,First day working in the big city! #excited,Autonomy,Satisfied,Not Clear,Work
682765546434215936,"Forced to watch Seacrest, missing my Anderson """"&"""" Kathy #cnnnye #depressed",Autonomy,Dissatisfied,Not Clear,Leisure
683380165209124864,Going to florida #delight delays sweeps,Autonomy,Not Clear,Non-Supportive,Leisure
649009508040077312,Going home to watch movies. #terriblemood #grumpy,Autonomy,Satisfied,Not Clear,Leisure
691001530820984832,"I will now eat my emotions, drink wine and smoke cigarettes until I hear back from the realtor. #stressed",Autonomy,Not Clear,Non-Supportive,Other
682730459806040065,Jesus if the 9pm fireworks are anything to go by the midnight ones will be the best thing I've seen #unbelievable #sydney #nye,Autonomy,Satisfied,Not Clear,Leisure
679865504480231424,I'm going going Back back To Hali Hali #xmasinNS #surprise,Autonomy,Satisfied,Not Clear,Leisure
678788138471260160,Can't leave this town behind soon enough. #SmallTown #Disappointment,Autonomy,Dissatisfied,Non-Supportive,Other
684787130397233152,Officially booked our trip to South Korea. #excited,Autonomy,Satisfied,Not Clear,Leisure
683782903910645760,I feel like this is a good year for #business in my life! Either #YouTube or otherwise I'm not sure but I'm #excited ! Ready to rock it! 👊🏻,Autonomy,Satisfied,Not Clear,life evaluation
682033982788231169,"Sooo much to do tomorrow... mani ""&"" pedi and need to find a NYE outfit, to ring in 2016, in my sweet home Chicago. 💃🏻🎉🍓🍾🌹 #excited",Autonomy,Satisfied,Not Clear,Leisure
679150655857004544,"Mumbai #localtrains are not running they are literally dragging, traveling for more than a hr for a dist of 45 mins #annoyed #mumbaitrains",Autonomy,Dissatisfied,Not Clear,Leisure
